middleschool,variable.x,pct,pctse
Hilsman,socialgather5,0.173891144,0.020808568
BHL,influenceathens0,0.06136027,0.013662796
Clarke,influenceathens0,0.039982677,0.012618501
Coile,influenceathens0,0.031162349,0.008699727
Hilsman,influenceathens0,0.06271948,0.013389956
BHL,influenceathens1,0.180298868,0.02326839
Clarke,influenceathens1,0.104550097,0.017779761
Coile,influenceathens1,0.124588712,0.020345569
Hilsman,influenceathens1,0.092911481,0.015751305
BHL,influenceathens2,0.317550814,0.028544656
Clarke,influenceathens2,0.303465823,0.028140564
Coile,influenceathens2,0.396914872,0.029532459
Hilsman,influenceathens2,0.371705956,0.026848351
BHL,influenceathens3,0.360676369,0.029488078
Clarke,influenceathens3,0.433674504,0.030673589
