middleschool,variable.x,est,se
Coile,acc_child1,1650.528193,144.39818429564812
Hilsman,acc_child1,2374.633606,269.1954050889422
BHLyons,acc_child2,415.359467,107.69740550602681
Clarke,acc_child2,474.7450696,153.04340635955728
Coile,acc_child2,205.1327908,58.56906996733476
Hilsman,acc_child2,530.3092621,146.29530190813028
BHLyons,vote_location0,1531.797748,183.43065681474332
Clarke,vote_location0,2188.6016398,301.5138596071987
Coile,vote_location0,1933.1950738,163.11498674213
Hilsman,vote_location0,2606.2972403,285.4900574858006
BHLyons,vote_location1,6297.980253,195.67286145314895
Clarke,vote_location1,12093.9000156,319.3023532442999
Coile,vote_location1,3817.4019052,166.98009048268267
Hilsman,vote_location1,10476.2999465,301.9352924843335
BHLyons,register_vote0,824.923574,137.1945115277034
Clarke,register_vote0,1000.3127494,212.2152894547768
Coile,register_vote0,1063.810768,127.35093914340393
Hilsman,register_vote0,1224.7654736,204.62398705547878
BHLyons,register_vote1,6944.572414,161.11473132256754
Clarke,register_vote1,13290.838905600001,241.3390184888626
Coile,register_vote1,4686.224684,136.19025963395976
Hilsman,register_vote1,11708.2060193,243.15066466159104
BHLyons,atten_govt0,204.216385,72.97569677619734
Clarke,atten_govt0,63.8367432,38.533305698565634
Coile,atten_govt0,131.4571726,49.852395513469794
Hilsman,atten_govt0,287.7544023,101.3146021618105
BHLyons,atten_govt1,1010.552859,160.88840188642234
Clarke,atten_govt1,1647.6802668,275.2934950842707
Coile,atten_govt1,1296.777448,144.785117936738
Hilsman,atten_govt1,1396.3693367,215.82119509266678
BHLyons,atten_govt2,862.7219329999999,145.0896139104599
Clarke,atten_govt2,1827.8157112000001,294.40091290198103
Coile,atten_govt2,847.1668978,126.2608390515082
Hilsman,atten_govt2,1453.2962451,227.61238934702686
BHLyons,atten_govt3,2973.002912,232.41629894487417
Clarke,atten_govt3,5633.0369516,433.12892215262616
Coile,atten_govt3,1932.4475292,165.00127759401343
Hilsman,atten_govt3,5475.497423100001,359.2338812982283
BHLyons,atten_govt4,2749.064399,229.68820417443453
Clarke,atten_govt4,5066.924839,420.208485144496
Coile,atten_govt4,1522.82428,150.54040825757866
Hilsman,atten_govt4,4420.7738895,341.12874235700076
BHLyons,vote_year0,2299.2773079999997,215.00963231510903
